cars,type,garage,datetime
100,vacancy,Locust Street Garage,2018-08-11 04:00:00
100,vacancy,Locust Street Garage,2018-08-11 05:00:00
100,vacancy,Locust Street Garage,2018-08-11 06:00:00
100,vacancy,Locust Street Garage,2018-08-11 07:00:00
100,vacancy,Locust Street Garage,2018-08-11 08:00:00
100,vacancy,Locust Street Garage,2018-08-11 09:00:00
100,vacancy,Locust Street Garage,2018-08-11 10:00:00
100,vacancy,Locust Street Garage,2018-08-11 11:00:00
100,vacancy,Locust Street Garage,2018-08-11 12:00:00
100,vacancy,Locust Street Garage,2018-08-11 13:00:00
100,vacancy,Locust Street Garage,2018-08-11 14:00:00
100,vacancy,Locust Street Garage,2018-08-11 15:00:00
100,vacancy,Locust Street Garage,2018-08-11 16:00:00
100,vacancy,Locust Street Garage,2018-08-11 17:00:00
100,vacancy,Locust Street Garage,2018-08-11 18:00:00
100,vacancy,Locust Street Garage,2018-08-11 19:00:00
100,vacancy,Locust Street Garage,2018-08-11 20:00:00
100,vacancy,Locust Street Garage,2018-08-11 21:00:00
100,vacancy,Locust Street Garage,2018-08-11 22:00:00
100,vacancy,Locust Street Garage,2018-08-11 23:00:00
100,vacancy,Locust Street Garage,2018-08-12 00:00:00
100,vacancy,Locust Street Garage,2018-08-12 01:00:00
100,vacancy,Locust Street Garage,2018-08-12 02:00:00
100,vacancy,Locust Street Garage,2018-08-12 03:00:00
100,vacancy,Locust Street Garage,2018-08-12 04:00:00
100,vacancy,Locust Street Garage,2018-08-12 05:00:00
100,vacancy,Locust Street Garage,2018-08-12 06:00:00
100,vacancy,Locust Street Garage,2018-08-12 07:00:00
100,vacancy,Locust Street Garage,2018-08-12 08:00:00
100,vacancy,Locust Street Garage,2018-08-12 09:00:00
100,vacancy,Locust Street Garage,2018-08-12 10:00:00
100,vacancy,Locust Street Garage,2018-08-12 11:00:00
100,vacancy,Locust Street Garage,2018-08-12 12:00:00
100,vacancy,Locust Street Garage,2018-08-12 13:00:00
100,vacancy,Locust Street Garage,2018-08-12 14:00:00
100,vacancy,Locust Street Garage,2018-08-12 15:00:00
100,vacancy,Locust Street Garage,2018-08-12 16:00:00
100,vacancy,Locust Street Garage,2018-08-12 17:00:00
100,vacancy,Locust Street Garage,2018-08-12 18:00:00
100,vacancy,Locust Street Garage,2018-08-12 19:00:00
100,vacancy,Locust Street Garage,2018-08-12 20:00:00
100,vacancy,Locust Street Garage,2018-08-12 21:00:00
100,vacancy,Locust Street Garage,2018-08-12 22:00:00
100,vacancy,Locust Street Garage,2018-08-12 23:00:00
0,egress,Locust Street Garage,2018-08-06 00:00:00
0,egress,Locust Street Garage,2018-08-06 01:00:00
0,egress,Locust Street Garage,2018-08-06 02:00:00
0,egress,Locust Street Garage,2018-08-06 03:00:00
0,egress,Locust Street Garage,2018-08-06 04:00:00
0,egress,Locust Street Garage,2018-08-06 05:00:00
